StateAbbr,PlaceName,BPHIGH_CrudePrev,CANCER_CrudePrev,CHD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,TEETHLOST_CrudePrev
FL,West Palm Beach,31.9,6.5,6.9,16.9,11.4,37.7,28.3,39.9,13.5
GA,Albany,42.6,5.6,7.3,24.6,15.0,36.7,40.2,46.5,25.6
GA,Athens,28.4,4.2,4.5,19.9,8.5,31.0,29.0,37.3,18.2
GA,Atlanta,33.4,4.9,5.1,17.9,11.0,31.3,30.7,40.5,19.1
GA,Augusta,39.4,5.6,6.6,22.2,13.5,36.1,35.8,43.9,22.9
GA,Columbus,37.7,5.8,6.3,20.2,12.7,36.5,36.8,42.7,19.5
GA,Johns Creek,26.8,5.5,3.6,11.4,7.1,32.5,21.4,34.1,7.0
GA,Macon,44.8,5.9,8.2,25.3,16.7,39.2,40.3,45.4,28.7
GA,Roswell,28.9,6.2,4.5,13.4,7.7,33.4,25.1,33.8,8.1
GA,Sandy Springs,27.9,5.8,4.2,13.4,7.2,31.3,24.9,34.9,8.6
GA,Savannah,38.1,5.5,6.1,20.6,12.8,35.3,36.7,44.0,22.2
GA,Warner Robins,36.2,5.4,5.8,22.0,10.8,34.3,35.2,41.1,20.2
HI,Honolulu,31.5,5.6,4.3,14.0,9.3,36.0,21.7,47.4,7.1
ID,Boise City,27.8,6.2,4.9,13.6,7.4,36.0,26.6,29.0,13.0
ID,Meridian,26.6,5.9,4.4,13.7,6.9,34.5,26.9,29.1,12.1
ID,Nampa,28.6,5.7,5.8,19.5,9.3,37.3,34.0,34.3,18.4
IL,Arlington Heights,29.4,7.9,5.6,12.5,7.8,36.4,24.7,29.6,8.9
IL,Aurora,26.4,4.5,4.6,17.8,9.4,33.3,33.8,36.5,18.9
IL,Bloomington,27.1,5.9,4.8,15.9,7.8,32.3,29.8,33.4,14.0
IL,Bolingbrook,27.4,4.6,4.3,16.3,9.1,32.5,30.8,38.8,13.7
IL,Champaign,22.5,4.2,3.6,17.5,6.5,30.7,27.8,33.4,13.2
IL,Chicago,31.5,5.0,5.6,18.5,11.3,34.0,33.5,37.5,18.5
IL,Cicero,27.4,3.8,5.3,19.8,11.5,35.0,36.9,37.8,20.9
IL,Decatur,37.0,7.4,7.8,22.1,12.1,39.0,34.0,35.5,18.9
IL,Elgin,27.4,5.1,5.0,17.5,9.3,35.1,33.1,35.7,15.8
IL,Evanston,26.1,5.9,4.3,12.6,7.2,32.0,25.3,31.7,9.5
IL,Joliet,28.4,5.1,5.2,19.4,9.5,33.3,33.2,38.8,17.0
IL,Naperville,25.5,6.0,4.0,11.6,7.1,33.1,24.8,31.1,8.2
IL,Palatine,26.3,6.1,4.6,14.6,7.5,34.0,26.4,31.8,9.7
IL,Peoria,32.5,6.4,6.5,19.9,10.6,35.6,33.4,36.6,17.1
IL,Rockford,34.9,6.7,7.3,21.6,12.0,39.0,36.6,36.8,20.4
IL,Schaumburg,26.5,6.2,4.6,13.7,7.4,33.9,24.1,32.3,10.1
IL,Springfield,33.2,7.0,6.4,19.1,10.2,37.8,31.6,34.3,15.5
IL,Waukegan,31.5,4.4,5.7,20.8,11.9,36.1,36.6,37.9,22.6
IN,Bloomington,19.6,3.9,3.7,20.4,5.3,29.3,25.6,34.6,14.1
IN,Carmel,28.9,6.7,4.6,11.4,7.3,34.8,26.8,29.4,7.9
IN,Evansville,33.8,6.9,7.6,22.8,11.4,37.9,35.1,38.7,19.1
IN,Fishers,24.2,5.1,3.3,13.0,5.8,30.2,27.8,31.1,7.8
IN,Fort Wayne,32.2,6.3,6.7,20.9,10.7,37.2,31.8,36.1,16.2
IN,Gary,49.2,6.2,9.7,26.0,21.0,42.1,45.3,51.3,30.4
IN,Hammond,34.5,5.7,7.3,23.3,13.0,39.1,36.6,43.7,22.9
IN,Indianapolis,29.9,5.7,6.0,23.1,10.8,37.2,33.5,39.4,19.0
IN,Lafayette,28.8,6.0,6.1,22.0,9.0,36.7,35.3,37.9,17.7
IN,Muncie,31.0,5.6,6.7,25.3,9.7,37.4,33.5,38.0,20.4
IN,South Bend,36.2,6.4,7.6,23.3,12.3,37.9,36.4,40.3,21.3
IA,Cedar Rapids,29.3,6.6,5.4,18.4,8.2,35.2,34.1,28.7,13.8
IA,Davenport,29.2,6.6,5.8,19.6,9.1,36.7,35.7,32.9,14.7
IA,Des Moines,28.1,5.9,5.5,20.4,9.1,36.0,32.7,31.3,15.2
IA,Iowa City,19.3,4.3,3.4,17.1,5.4,28.3,25.2,27.0,10.3
IA,Sioux City,29.2,6.4,6.0,21.7,9.6,38.3,34.0,32.7,16.8
IA,Waterloo,33.1,6.9,6.5,20.6,10.5,37.5,35.0,32.9,16.4
KS,Kansas City,35.0,5.6,6.8,24.7,13.3,38.9,41.1,36.6,24.4
KS,Lawrence,20.4,4.5,3.6,17.3,5.5,28.4,27.9,27.9,12.2
KS,Olathe,24.6,5.4,4.2,14.7,7.0,34.9,30.0,28.6,10.9
KS,Overland Park,26.7,6.7,4.8,11.7,7.4,37.2,27.7,26.5,8.7
KS,Topeka,35.2,7.0,6.4,22.9,10.8,40.4,37.6,30.9,16.8
KS,Wichita,31.8,6.2,6.0,21.5,10.3,39.3,35.9,32.6,18.2
KY,Lexington,32.6,5.7,5.8,21.5,9.5,33.3,30.3,37.4,19.2
KY,Louisville,39.7,6.7,7.5,25.9,11.8,37.8,35.1,37.6,19.0
LA,Baton Rouge,36.9,5.5,6.2,18.8,12.0,35.0,34.4,35.9,19.4
